ID,Time Spent On TV,Number Of Meals Per Day,Change In Weight,Health Issue During Lockdown,Stress Busters,Time Utilized,Connection Status,Activities Missed (Most),Age Group
292,2,4,Remain Constant,YES,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
293,2,3,Increased,NO,Meditation,NO,YES,Personal Exploration,Young Adults
294,2,4,Remain Constant,NO,Watching videos,YES,YES,Travel and Exploration,Pre-Teens
295,0,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,All Options,Pre-Teens
296,2,3,Increased,NO,Reading books,NO,YES,Travel and Exploration,Young Adults
297,0,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
298,2,3,Remain Constant,NO,Watching videos,NO,NO,Personal Exploration,Young Adults
299,3,3,Increased,NO,Sleeping,NO,YES,Travel and Exploration,Pre-Teens
300,2,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
301,1,2,Remain Constant,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
302,1,3,Increased,NO,Gaming,YES,NO,Personal Exploration,Young Adults
303,0,3,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
304,2,2,Increased,NO,Social Media,NO,YES,Social Interactions,Young Adults
305,0,2,Decreased,YES,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
306,4,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
307,1,2,Remain Constant,NO,Leisure and Entertainment,YES,YES,All Options,Pre-Teens
308,0,4,Remain Constant,NO,No stress,YES,NO,Personal Reflection,Pre-Teens
309,2,2,Remain Constant,YES,Gaming,NO,NO,Education,Pre-Teens
310,1,3,Increased,YES,Gaming,YES,NO,Dining and Entertainment,Young Adults
311,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Dining and Entertainment,Pre-Teens
312,0.1,3,Increased,NO,Sleeping,NO,YES,Social Interactions,Pre-Teens
313,2,4,Remain Constant,NO,Watching videos,NO,NO,Travel and Exploration,Young Adults
314,4,3,Remain Constant,NO,Communication with others,NO,YES,Travel and Exploration,Young Adults
315,1,4,Increased,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
316,0,4,Increased,NO,Work,YES,YES,Social Interactions,Pre-Teens
317,0,3,Decreased,NO,Gaming,NO,NO,Dining and Entertainment,Pre-Teens
318,0.25,3,Remain Constant,NO,Sleeping,YES,NO,Education,Young Adults
319,1,4,Increased,NO,Reading books,YES,YES,Social Interactions,Children
320,2,2,Decreased,NO,Gaming,NO,YES,Travel and Exploration,Young Adults
321,0,4,Increased,NO,Reading books,NO,YES,Education,Young Adults
322,1,2,Decreased,NO,Many options,NO,NO,Travel and Exploration,Pre-Teens
323,1,3,Increased,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
324,1,2,Increased,NO,Sleeping,NO,YES,Social Interactions,Young Adults
325,0,3,Increased,NO,Leisure and Entertainment,YES,YES,Education,Young Adults
326,0,4,Remain Constant,YES,Leisure and Entertainment,YES,NO,Travel and Exploration,Young Adults
327,4,3,Remain Constant,NO,Gaming,YES,NO,All Options,Young Adults
328,2,2,Remain Constant,NO,Gaming,NO,NO,Personal Reflection,Pre-Teens
329,1,3,Remain Constant,YES,Reading books,NO,YES,Dining and Entertainment,Young Adults
330,3,2,Remain Constant,NO,Social Media,YES,YES,Travel and Exploration,Pre-Teens
331,3,2,Increased,YES,Exercise,NO,NO,Social Interactions,Young Adults
332,1,3,Remain Constant,NO,Gaming,NO,NO,Personal Reflection,Pre-Teens
333,1,2,Increased,NO,Watching videos,NO,YES,All Options,Pre-Teens
334,0,4,Remain Constant,NO,Watching videos,YES,NO,Social Interactions,Pre-Teens
335,0.5,3,Increased,NO,Communication with others,NO,YES,Family,Adults
336,1,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Pre-Teens
337,0,3,Increased,NO,Reading books,YES,YES,Education,Adults
338,2,2,Increased,NO,Sleeping,YES,YES,Social Interactions,Pre-Teens
339,1,4,Increased,NO,Watching videos,NO,YES,Education,Young Adults
340,1,3,Increased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
341,0,4,Remain Constant,NO,Sleeping,NO,YES,Travel and Exploration,Young Adults
342,1,4,Increased,NO,Communication with others,NO,YES,Education,Pre-Teens
343,0,2,Increased,NO,Leisure and Entertainment,NO,NO,Social Interactions,Pre-Teens
344,0.5,2,Remain Constant,NO,Meditation,YES,YES,Education,Pre-Teens
345,3,4,Remain Constant,NO,Sports and games,NO,YES,Personal Exploration,Children
346,0,3,Remain Constant,NO,Watching videos,YES,YES,Dining and Entertainment,Young Adults
347,0,3,Increased,NO,Watching videos,NO,YES,Dining and Entertainment,Young Adults
348,2,3,Remain Constant,NO,Gaming,YES,YES,Education,Pre-Teens
349,1,3,Remain Constant,NO,Sleeping,YES,YES,Travel and Exploration,Adults
350,2,1,Increased,YES,Reading books,NO,YES,Education,Pre-Teens
351,1,3,Increased,NO,Gaming,YES,YES,Education,Children
352,3,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
353,1,3,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
354,1,2,Decreased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
355,2,2,Remain Constant,NO,Exercise,YES,NO,Travel and Exploration,Pre-Teens
356,2,4,Increased,NO,Reading books,NO,YES,Dining and Entertainment,Pre-Teens
357,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Personal Exploration,Young Adults
358,1,4,Increased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Young Adults
359,1,3,Increased,NO,Sleeping,YES,NO,Education,Adults
360,0,4,Decreased,NO,Gaming,YES,YES,Sports and Activities,Young Adults
361,2,7,Increased,NO,Exercise,YES,YES,Education,Pre-Teens
362,0,3,Increased,YES,Leisure and Entertainment,NO,NO,Education,Young Adults
363,0.5,3,Remain Constant,NO,Reading books,YES,YES,Personal Exploration,Pre-Teens
364,0,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Young Adults
365,4,3,Increased,NO,Watching videos,YES,NO,Social Interactions,Pre-Teens
366,1,3,Remain Constant,NO,Gaming,YES,YES,Personal Exploration,Young Adults
367,0,3,Increased,NO,Gaming,YES,NO,Education,Pre-Teens
368,2,1,Increased,YES,Gaming,YES,YES,Education,Pre-Teens
369,0,2,Remain Constant,NO,Gaming,NO,YES,Dining and Entertainment,Adults
370,2,3,Increased,NO,Communication with others,YES,YES,Social Interactions,Children
371,0,3,Remain Constant,YES,Leisure and Entertainment,NO,YES,Travel and Exploration,Young Adults
372,2,4,Remain Constant,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Children
373,0,4,Decreased,NO,Sleeping,NO,YES,Travel and Exploration,Young Adults
374,0.5,2,Increased,NO,Social Media,YES,YES,Travel and Exploration,Adults
375,0.5,4,Remain Constant,YES,Communication with others,NO,YES,Education,Young Adults
376,2,2,Decreased,NO,Meditation,YES,YES,Travel and Exploration,Young Adults
377,1,2,Remain Constant,NO,Watching videos,YES,YES,Travel and Exploration,Adults
378,3,1,Decreased,NO,Gaming,NO,NO,Education,Pre-Teens
379,1,1,Remain Constant,NO,Reading books,NO,YES,Social Interactions,Children
380,1,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Social Interactions,Pre-Teens
381,2,3,Remain Constant,NO,Communication with others,NO,NO,Personal Exploration,Young Adults
382,1,3,Increased,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Adults
383,5,2,Remain Constant,NO,Meditation,NO,YES,Personal Routine,Young Adults
384,3,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
385,1,4,Remain Constant,NO,Reading books,YES,YES,Education,Children
386,2,1,Increased,NO,Communication with others,YES,YES,Education,Pre-Teens
387,0,3,Decreased,NO,Watching videos,YES,YES,Personal Exploration,Pre-Teens
388,5,2,Remain Constant,NO,Leisure and Entertainment,YES,NO,Travel and Exploration,Young Adults
389,2,1,Remain Constant,NO,Gaming,YES,YES,Education,Pre-Teens
390,0,3,Remain Constant,NO,Watching videos,NO,NO,Social Interactions,Young Adults
391,0.5,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
392,0,2,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Pre-Teens
393,0,3,Increased,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Young Adults
394,4,3,Increased,NO,Gaming,YES,YES,Education,Pre-Teens
395,0,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
396,2,3,Remain Constant,YES,Watching videos,NO,YES,Travel and Exploration,Young Adults
397,1,2,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
398,2,3,Decreased,NO,Gaming,YES,YES,Travel and Exploration,Pre-Teens
399,1,3,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
400,0,1,Decreased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
401,0,1,Decreased,YES,Reading books,YES,YES,Education,Pre-Teens
402,0.5,3,Remain Constant,NO,Gaming,YES,YES,Education,Pre-Teens
403,0,3,Remain Constant,NO,Meditation,YES,YES,Social Interactions,Young Adults
404,6,3,Decreased,NO,Gaming,NO,YES,Social Interactions,Young Adults
405,0,3,Decreased,NO,Watching videos,YES,NO,Dining and Entertainment,Young Adults
406,0,3,Decreased,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
407,0.3,2,Increased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
408,0,3,Decreased,YES,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
409,0,3,Increased,NO,Gaming,YES,YES,Education,Pre-Teens
410,1,3,Increased,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Children
411,4.5,2,Decreased,NO,Watching videos,NO,YES,Social Interactions,Pre-Teens
412,3,3,Increased,NO,Gaming,NO,YES,Social Interactions,Adults
413,2,3,Remain Constant,NO,Exercise,YES,YES,Personal Exploration,Children
414,1,2,Remain Constant,NO,Watching videos,YES,YES,Education,Young Adults
415,2,2,Increased,NO,Sleeping,YES,YES,Social Interactions,Children
416,0,4,Remain Constant,NO,Gaming,YES,YES,Education,Pre-Teens
417,0,3,Decreased,NO,Gaming,YES,NO,Travel and Exploration,Young Adults
418,0,3,Remain Constant,NO,Watching videos,YES,YES,Personal Exploration,Young Adults
419,2,3,Remain Constant,NO,Watching videos,NO,YES,Personal Exploration,Young Adults
420,4,4,Decreased,NO,Sleeping,NO,YES,Social Interactions,Young Adults
421,1,1,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Children
422,1,3,Remain Constant,YES,Social Media,NO,NO,Education,Young Adults
423,1,2,Decreased,NO,Communication with others,YES,YES,Personal Exploration,Young Adults
424,2,3,Remain Constant,NO,Watching videos,NO,YES,Education,Adults
425,0,3,Decreased,NO,Social Media,YES,YES,Travel and Exploration,Young Adults
426,5,4,Remain Constant,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
427,2,3,Remain Constant,YES,Watching videos,YES,YES,Social Interactions,Young Adults
428,1,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,All Options,Pre-Teens
429,0,3,Remain Constant,NO,Gaming,NO,NO,Social Interactions,Pre-Teens
430,2,3,Increased,NO,Watching videos,NO,YES,Education,Pre-Teens
431,0.5,3,Remain Constant,NO,Social Media,NO,YES,Social Interactions,Pre-Teens
432,1,2,Decreased,NO,Sleeping,NO,NO,Travel and Exploration,Pre-Teens
433,0,2,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
434,1,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Education,Middle-Aged Adults
435,0.6,4,Increased,NO,Reading books,YES,YES,Personal Exploration,Young Adults
436,0.5,2,Remain Constant,YES,Leisure and Entertainment,NO,YES,Personal Exploration,Pre-Teens
437,3,2,Increased,YES,Social Media,NO,NO,Education,Pre-Teens
438,0,3,Remain Constant,NO,Reading books,YES,YES,Dining and Entertainment,Young Adults
439,7,3,Increased,NO,Watching videos,NO,NO,Social Interactions,Young Adults
440,3,3,Decreased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
441,0,2,Decreased,YES,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
442,0,3,Increased,NO,Reading books,YES,YES,Dining and Entertainment,Young Adults
443,0,1,Remain Constant,NO,Reading books,YES,NO,Education,Pre-Teens
444,0.5,2,Increased,NO,Gaming,YES,YES,Education,Pre-Teens
445,1,1,Decreased,NO,Communication with others,YES,YES,Social Interactions,Pre-Teens
446,1,2,Remain Constant,NO,Gaming,NO,YES,Personal Exploration,Adults
447,1,3,Increased,NO,Meditation,YES,YES,Social Interactions,Middle-Aged Adults
448,4,2,Remain Constant,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
449,0,2,Remain Constant,NO,Reading books,YES,YES,Education,Young Adults
450,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Social Interactions,Young Adults
451,0,4,Remain Constant,NO,Leisure and Entertainment,NO,NO,Social Interactions,Young Adults
452,1,2,Increased,NO,Social Media,YES,YES,Education,Young Adults
453,3,4,Increased,NO,Social Media,NO,NO,Travel and Exploration,Young Adults
454,0,3,Remain Constant,NO,Reading books,YES,YES,Travel and Exploration,Pre-Teens
455,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Social Interactions,Pre-Teens
456,0.5,2,Remain Constant,NO,Gaming,YES,YES,Travel and Exploration,Adults
457,1,3,Remain Constant,YES,Gaming,YES,YES,Travel and Exploration,Pre-Teens
458,1,3,Increased,NO,Social Media,NO,YES,Social Interactions,Young Adults
459,2,2,Decreased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
460,3,4,Increased,NO,Sleeping,YES,YES,Personal Exploration,Young Adults
461,1,3,Remain Constant,NO,Communication with others,YES,YES,Travel and Exploration,Young Adults
462,0,3,Increased,NO,Watching videos,YES,YES,Travel and Exploration,Young Adults
463,7,2,Decreased,YES,Leisure and Entertainment,NO,NO,Education,Young Adults
464,0,4,Increased,NO,Watching videos,YES,YES,Travel and Exploration,Young Adults
465,0,7,Decreased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Young Adults
466,0,4,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
467,1,3,Increased,NO,Gaming,NO,YES,Education,Pre-Teens
468,1,3,Increased,NO,Social Media,NO,NO,Education,Pre-Teens
469,2,3,Increased,NO,Gaming,NO,YES,Travel and Exploration,Children
470,0,2,Remain Constant,NO,Gaming,YES,YES,Education,Young Adults
471,0,2,Decreased,NO,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
472,0,2,Increased,NO,Social Media,NO,NO,Education,Young Adults
473,3,3,Remain Constant,NO,Gaming,YES,YES,Dining and Entertainment,Young Adults
474,2,3,Increased,NO,Meditation,YES,YES,Education,Pre-Teens
475,0,3,Increased,NO,Exercise,YES,YES,Social Interactions,Young Adults
476,1,3,Decreased,YES,Gaming,NO,YES,Dining and Entertainment,Pre-Teens
477,0,1,Decreased,NO,Meditation,NO,NO,Travel and Exploration,Young Adults
478,0.5,5,Remain Constant,YES,Leisure and Entertainment,YES,YES,Education,Pre-Teens
479,0,4,Decreased,NO,Leisure and Entertainment,NO,YES,Personal Exploration,Young Adults
480,2,2,Increased,NO,Gaming,NO,NO,Education,Pre-Teens
481,0,3,Increased,NO,Social Media,NO,YES,Personal Reflection,Pre-Teens
482,1,3,Remain Constant,YES,Reading books,NO,NO,Education,Young Adults
483,0,3,Remain Constant,NO,Meditation,YES,NO,Education,Young Adults
484,0.5,4,Decreased,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
485,0,1,Remain Constant,NO,Reading books,NO,NO,Education,Young Adults
486,0,3,Remain Constant,NO,Communication with others,NO,YES,Social Interactions,Young Adults
487,0,4,Increased,NO,Watching videos,NO,YES,Dining and Entertainment,Young Adults
488,0.5,3,Increased,NO,Gaming,YES,YES,Education,Young Adults
489,0,3,Remain Constant,NO,Exercise,YES,YES,Travel and Exploration,Young Adults
490,0,3,Remain Constant,NO,Gaming,NO,YES,Dining and Entertainment,Young Adults
491,1,4,Remain Constant,NO,Gaming,NO,YES,Personal Exploration,Young Adults
492,2,2,Increased,YES,Social Media,NO,NO,Social Interactions,Young Adults
493,0,2,Remain Constant,NO,Gaming,NO,NO,Social Interactions,Pre-Teens
494,0,4,Increased,NO,Gaming,NO,NO,Personal Exploration,Young Adults
495,0,3,Increased,NO,Gaming,NO,YES,Education,Young Adults
496,0,3,Increased,NO,Gaming,NO,YES,Education,Pre-Teens
497,0,3,Decreased,NO,Exercise,YES,YES,Social Interactions,Pre-Teens
498,2,3,Remain Constant,NO,Exercise,YES,YES,Education,Children
499,0,3,Increased,NO,Gaming,NO,YES,Travel and Exploration,Young Adults
500,1,3,Remain Constant,NO,Sleeping,NO,NO,Education,Young Adults
501,0,3,Increased,NO,Gaming,YES,YES,Education,Young Adults
502,2,3,Increased,NO,Social Media,NO,NO,Personal Exploration,Young Adults
503,0,3,Increased,NO,Gaming,NO,NO,Social Interactions,Young Adults
504,0,3,Increased,NO,Sleeping,NO,YES,Education,Young Adults
505,4,4,Increased,NO,Gaming,YES,YES,Social Interactions,Young Adults
506,1,4,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
507,8,4,Increased,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
508,6,2,Increased,NO,Gaming,NO,NO,Dining and Entertainment,Young Adults
509,0.5,3,Decreased,NO,Exercise,NO,YES,Education,Pre-Teens
510,1,4,Increased,NO,Leisure and Entertainment,YES,YES,Education,Children
511,1,2,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
512,1,2,Decreased,NO,Communication with others,NO,YES,Education,Pre-Teens
513,2,3,Increased,NO,Watching videos,NO,YES,Education,Pre-Teens
514,15,3,Remain Constant,NO,Communication with others,YES,YES,Education,Young Adults
515,2,3,Increased,NO,Exercise,YES,YES,Travel and Exploration,Pre-Teens
516,2,4,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
517,0,4,Increased,NO,Sleeping,NO,NO,Travel and Exploration,Pre-Teens
518,0,3,Increased,NO,Gaming,NO,NO,Social Interactions,Pre-Teens
519,1,3,Increased,YES,Gaming,NO,YES,Education,Pre-Teens
520,1,3,Remain Constant,YES,Gaming,NO,NO,Personal Exploration,Young Adults
521,6,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Travel and Exploration,Adults
522,2,3,Increased,NO,Leisure and Entertainment,NO,NO,Social Interactions,Pre-Teens
523,1,3,Decreased,YES,Leisure and Entertainment,NO,NO,Travel and Exploration,Pre-Teens
524,3,4,Increased,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
525,0.5,2,Increased,NO,Social Media,NO,YES,Social Interactions,Pre-Teens
526,0,3,Decreased,NO,Social Media,NO,YES,Travel and Exploration,Young Adults
527,0.5,3,Increased,NO,Reading books,YES,YES,Education,Young Adults
528,1,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,Social Interactions,Young Adults
529,0,3,Decreased,NO,Leisure and Entertainment,YES,NO,Personal Exploration,Young Adults
530,4,3,Decreased,NO,Watching videos,YES,YES,Social Interactions,Young Adults
531,1,1,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
532,0,3,Remain Constant,NO,Watching videos,NO,YES,Dining and Entertainment,Young Adults
533,1,2,Remain Constant,NO,Sleeping,YES,YES,Education,Pre-Teens
534,1,2,Remain Constant,NO,Reading books,YES,YES,Personal Exploration,Adults
535,2,2,Decreased,NO,Reading books,YES,YES,Social Interactions,Young Adults
536,2,3,Remain Constant,NO,Sleeping,NO,YES,Family and Social Interactions,Young Adults
537,0,3,Remain Constant,NO,Gaming,YES,YES,Education,Young Adults
538,2,3,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Young Adults
539,2,3,Remain Constant,NO,Watching videos,NO,YES,Travel and Exploration,Pre-Teens
540,2,2,Increased,NO,Meditation,NO,YES,Education,Pre-Teens
541,1,2,Decreased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
542,0,2,Decreased,NO,Sleeping,NO,NO,Education,Young Adults
543,0,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,Dining and Entertainment,Pre-Teens
544,0.5,3,Remain Constant,YES,Gaming,YES,NO,Education,Young Adults
545,0,4,Decreased,NO,Exercise,YES,YES,All Options,Pre-Teens
546,0,2,Increased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
547,0,3,Decreased,NO,Reading books,NO,YES,Education,Pre-Teens
548,1.5,3,Remain Constant,NO,Watching videos,NO,YES,Personal Routine,Young Adults
549,1,3,Increased,NO,Social Media,YES,NO,Education,Pre-Teens
550,1,4,Remain Constant,YES,Social Media,NO,YES,Social Interactions,Young Adults
551,2,5,Remain Constant,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
552,1,3,Decreased,YES,Sleeping,NO,NO,Education,Young Adults
553,0,2,Remain Constant,NO,Gaming,NO,YES,Social Interactions,Young Adults
554,2,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
555,2,3,Increased,NO,Gaming,NO,NO,Social Interactions,Young Adults
556,0,3,Increased,NO,Watching videos,YES,YES,Travel and Exploration,Young Adults
557,0,4,Increased,NO,Watching videos,NO,YES,Personal Exploration,Pre-Teens
558,1,4,Remain Constant,NO,Reading books,NO,YES,Education,Young Adults
559,1,3,Decreased,NO,Leisure and Entertainment,YES,NO,Education,Pre-Teens
560,0,4,Decreased,YES,Sleeping,NO,NO,Dining and Entertainment,Pre-Teens
561,1,3,Increased,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
562,1,4,Increased,NO,Watching videos,YES,YES,Personal Exploration,Young Adults
563,0,3,Remain Constant,NO,Communication with others,YES,YES,Dining and Entertainment,Young Adults
564,3,4,Remain Constant,NO,Meditation,NO,NO,Dining and Entertainment,Adults
565,6,3,Increased,NO,Meditation,NO,YES,Travel and Exploration,Pre-Teens
566,0,3,Increased,NO,Exercise,NO,YES,All Options,Pre-Teens
567,2,2,Remain Constant,NO,Social Media,NO,YES,Personal Exploration,Young Adults
568,2,4,Remain Constant,YES,Social Media,NO,YES,Social Interactions,Pre-Teens
569,2,4,Increased,NO,Sleeping,YES,NO,Education,Pre-Teens
570,1,2,Decreased,NO,Watching videos,NO,YES,Personal Exploration,Pre-Teens
571,0,2,Remain Constant,YES,Meditation,YES,YES,Personal Reflection,Pre-Teens
572,2,2,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
573,1,2,Increased,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
574,1,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,Dining and Entertainment,Young Adults
575,2,4,Increased,NO,Gaming,NO,YES,Education,Children
576,1,2,Remain Constant,NO,Sleeping,YES,YES,Education,Children
577,0.3,2,Decreased,NO,Sleeping,YES,YES,Education,Pre-Teens
578,2,1,Remain Constant,NO,Reading books,YES,NO,Dining and Entertainment,Young Adults
579,2,3,Remain Constant,NO,Gaming,YES,NO,Education,Pre-Teens
580,0,1,Increased,NO,Social Media,NO,YES,Personal Reflection,Young Adults
581,0,1,Decreased,NO,Communication with others,YES,YES,Personal Exploration,Young Adults
582,6,3,Remain Constant,NO,Communication with others,YES,YES,All Options,Pre-Teens
583,0,4,Increased,NO,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
584,0,3,Remain Constant,NO,Reading books,NO,YES,Dining and Entertainment,Adults
585,2,2,Decreased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
586,0,3,Remain Constant,NO,Sports and games,YES,YES,Education,Young Adults
587,1,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Travel and Exploration,Middle-Aged Adults
588,0,3,Remain Constant,NO,Gaming,YES,NO,Social Interactions,Pre-Teens
589,3,2,Remain Constant,NO,Communication with others,YES,YES,Dining and Entertainment,Young Adults
